Ge'ez Word  	Prefix	root 	Suffix 

መጽአት	-	መጽአ	-ት
ወመጽአት	ወ-	መጽአ	-ት
ዘመጽአት	ዘ-	 መጽአ	-ት
ኢመጽአት	ኢ-	 መጽአ	-ት
ትመጽእ	ት-	 መጽአ	-
ወመጽአ	ወ-	 መጽአ	-
መጽአ	-	መጽአ	  -
ዘመጽአ	ዘ-	   መጽአ	 -
ኢመጽአ	ኢ-	   መጽአ	 -
ዘኢይመጽእ	ዘኢይ-	መጽአ  -
ለዘመጽአ	ለዘ-	    መጽአ	  -
መጻአከ	-	መጽአ	-ከ
ወመጻአከ	ወ-	መጽአ	-ከ
ዘመጻአከ	ዘ-	መጽአ	-ከ
ኢመጻእከ	ኢ-	መጽአ	-ከ
ወዘሐነጸት	ወዘ	ሐነጸ	-ት
ዘዐይን 	ዘ	ዐይን	
ለዐይን 	ለ	ዐይን	
ወዐይንኪ	ወ	ዐይን	-ኪ
ወአዕይንት	ወአዕ	ዐይን	-ት
በአዕይንት 	በአዕ	ዐይን	-ት
አዕይንተ	አዕ	ዐይን	-ተ
ወአዕይንተ	ወአዕ	ዐይን	-ተ
በአዕይንተ	በአዕ	ዐይን	-ተ
አዕይንቱ	አዕ	ዐይን	-ቱ
ወአዕይንቱ	ወአዕ	ዐይን	-ቱ
ልሳናቲክሙ	-	ልሳን	-ቲክሙ
ልሳናቲክን	-	ልሳን	-ቲክን
ልሳነቲከ		ልሳን	-ትከ
ልሳናትኪ		ልሳን	-ትኪ
ልሳንከ		ልሳን	-ከ
ልሳንኪ		ልሳን	-ኪ
ልሳንነ		ልሳን	-ነ
ልሳናቲሆሙ		ልሳን	-ኣቲሆሙ
ልሳናቲሆን		ልሳን	-ኣቲሆን
ልሳኖሙ		ልሳን	-ኦሙ
ልሳኖን		ልሳን	-ኦን
ልሳኑ		ልሳን	-ኡ
ልሳንየ		ልሳን	-የ
ልሳንነ		ልሳን	-ነ
ልሳናት		ልሳን	--ኣት
ልሳናቲሁ		ልሳን	-ኣቲሁ
ልሳናቲሃ		ልሳን	-ኣቲሃ
ልሳናቲነ		ልሳን	-ኣቲነ
ልሳኒክን		ልሳን	-ኢክን
ወነፂሮን	ወ-	ነጸረ	-ኦን
ወነፂሩ	ወ-	ነጸረ	-ኡ
ወነፂራ	ወ-	ነጸረ	-ኣ
ወነፂረነ	ወ-	ነጸረ	-ነ
ወነፂርየ	ወ-	ነጸረ	-እየ
ወነፂረከ	ወ-	ነጸረ	-ከ
ወነፂረኪ	ወ-	ነጸረ	-ኪ
ወነፂረክሙ	ወ-	ነጸረ	-ክሙ
ወነፂረክን	ወ-	ነጸረ	-ክን
ነፀረት	-	ነጸረ	-ት
ነፀርኩ	-	ነጸረ	-ኩ
ነፀርከ	-	ነጸረ	-ከ
ነፀርኪ	-	ነጸረ	ኪ
ነፀርክሙ	-	ነጸረ	-ክሙ
ነፀርክን	-	ነጸረ	-ክን
ነፀርነ	-	ነጸረ	-እነ
ነፂሮሙ	-	ነጸረ	-ኦሙ
ነፂሮን	-	ነጸረ	-ኦን
ነፂሩ	-	ነጸረ	-ኡ
ነፂራ	-	ነጸረ	-ኣ
ነፂረነ	-	ነጸረ	-ነ
ነፂርየ	-	ነጸረ	-የ
ነፂረከ	-	ነጸረ	-ከ
ነፂረኪ	-	ነጸረ	-ኪ
ነፂረክሙ	-	ነጸረ	-ክሙ
ነፂረክን	-	ነጸረ	-ክን
ወነፀረ	ወ-	ነጸረ	-
ወነፀረት	ወ-	ነጸረ	-ት
ወነፀርኩ	ወ-	ነጸረ	-ኩ
ወነፀርከ	ወ-	ነጸረ	-ከ
ወነፀርኪ	ወ-	ነጸረ	ኪ
ወነፀርክሙ	ወ-	ነጸረ	-እክሙ
ወነፀርክን	ወ-	ነጸረ	-እክን
ወነፀርነ	ወ-	ነጸረ	-እነ
ዐጸውኩ	-	ዐጸወ	-ኩ
ወዐጸውኩ	ወ-	ዐጸወ	-ኩ
ዐጸውከ		ዐጸወ	-እከ
ወዐጸውከ	ወ-	ዐጸወ	-እከ
ዘዐጸውከ	ዘ-	ዐጸወ	-እከ
ዐጸውኪ	-	ዐጸወ	-እኪ
ወዐጸውኪ	ወ-	ዐጸወ	-እኪ
ዘዐጸውኪ	ዘ-	ዐጸወ	-እኪ
ዐጸወት	-	ዐጸወ	-ት
ወዐጸወት	ወ-	ዐጸወ	-ት
ዘዐጸወት	ዘ-	ዐጸወ	ት
ዐጸዉ	-	ዐጸወ	-ኡ
ወዐጸዉ	ወ-	ዐጸወ	-ኡ
ዘዐጸዉ	ዘ-	ዐጸወ	-ኡ
ዐጸዋ	-	ዐጸወ	-ኣ
ወዐጸዋ	ወ-	ዐጸወ	-ኣ
ዘዐጸዋ	ዘ-	ዐጸወ	-ኣ
ዐጸውነ	-	ዐጸወ	-እነ
ወዐጸውነ	ወ-	ዐጸወ	-እነ
ዘዐጸውነ	ዘ-	ዐጸወ	-እነ
ዘማዕጾሁ	ዘ-	ማዕጾ	-ኦሁ
ወዘማዕጾሁ	ወዘ-	ማዕጾ	-ኦሁ
ዘማዕጾሆሙ	ዘ-	ማዕጾ	-ሆሙ
ወዘማዕጾሆሙ	ወዘ-	ማዕጾ	-ሆሙ
ዘማዕጾክሙ	ዘ-	ማዕጾ	-ክሙ
ወዘማዕጾክሙ	ወዘ-	ማዕጾ	-ክሙ
ወበማዕጾነ	ወበ-	ማዕጾ	-ነ
ስፋሕ	-	ሰፍሐ	-እ
ኢስፋሐ	ኢ-	ሰፍሐ	
ኢሰፋሕኪ	ኢ-	ሰፍሐ	-እኪ
ኢሰፋሕከ	ኢ-	ሰፍሐ	-እከ
ኢሰፋሕኩ	ኢ-	ሰፍሐ	-እኩ
ኢሰፋሕነ	ኢ-	ሰፍሐ	-እነ
ኢሰፍሕክን	ኢ-	ሰፍሐ	-እክን
ኢሰፍሐት	ኢ-	ሰፍሐ	-ት
ኢሰፍሐ	ኢ-	ሰፍሐ	-
ወሰፍሐ	ወ-	ሰፍሐ	-
ወሰፍሐት	ወ-	ሰፍሐ	-ት
ወሰፍሐነ	ወ-	ሰፍሐ	-ነ
ወሰፋሕኪ	ወ-	ሰፍሐ	-ኪ
ወሰፍሑ	ወ-	ሰፍሐ	-ኡ
ወሰፋሕክሙ	ወ-	ሰፍሐ	-እክሙ
ንኡስ	-	ንኡስ	-
ንኡሰ	-	ንኡስ	-አ
ወንኡሰ	ወ-	ንኡስ	-
ለንኡስ	ለ-	ንኡስ	-
ንኡስክሙ	-	ንኡስ	-ክሙ
ወዘንኡስ	ወዘ-	ንኡስ	-
ንኡሳን	-	ንኡስ	-ኣን
ወንኡሳን	ወ-	ንኡስ	-ኣን
ወለንኡሳን	ወለ-	ንኡስ	-ኣን
ወለንኡሳትሂ	ወለ-	ንኡስ	-ኣትሂ
ወለንኡሳትሰ	ወለ-	ንኡስ	-ኣትሰ
ለንኡሳት	ለ-	ንኡስ	-ኣት
ልሳናቲክሙ	-	ልሳን	-ኣቲክሙ
ልሳናቲክን	-	ልሳን	-ኣቲክን
ልሳነቲከ	-	ልሳን	-ኣቲከ
ልሳናትኪ	-	ልሳን	-ኣቲኪ
ልሳንከ	-	ልሳን	-ከ
ልሳንኪ	-	ልሳን	-ኪ
ልሳንነ	-	ልሳን	-ነ
ልሳናቲሆሙ	-	ልሳን	-ኣቲሆሙ
ልሳናቲሆን	-	ልሳን	-ኣቲሆን
ልሳኖሙ	-	ልሳን	-ኦሙ
ልሳኖን	-	ልሳን	-ኦን
ልሳኑ	-	ልሳን	-ኡ
ልሳንየ	-	ልሳን	-የ
ልሳንነ	-	ልሳን	-ነ
ልሳናት	-	ልሳን	-ኣት
ልሳናቲሁ	-	ልሳን	-ኣቲሁ
ልሳናቲሃ	-	ልሳን	-ኣቲሃ
ልሳናቲነ	-	ልሳን	-ኣቲነ
ልሳንክን	-	ልሳን	-ክን
ወነፂሮሙ	ወ-	ነጸረ	-ኦሙ
ወነፂሮን	ወ-	ነጸረ	-ኦን
ወነፂሩ		ነጸረ	
ወነፂራ		ነጸረ	
ወነፂርነ		ነጸረ	
ወነፂርየ		ነጸረ	
ወነፂረከ		ነጸረ	
ወነፂረኪ		ነጸረ	
ወነፂረክሙ	    ነጸረ	
ወነፂረክን		 ነጸረ	
ኃይል			
ኃይልነ			
ኃይልየ			
ኃይልከ			
ኃይልኪ			
ኃይልክሙ			
ኃይልክን			
ኃይሎሙ			
ኃይሎን			
ኃይሉሂ			
ሰማይ			
ሰማያዊ			
ዘሰማያዊ			
ሰማያዊት			
ሰማያውያን			
ዘባሰማያት			
እምሰማይ			
ወበማዕጾየ			
ወኢይትዐጸዉ			
ወኢይትዐጸዋ			
ወኢይትዐጾ			
በልዐ			
ወበልዐ			
ዘበልዐ			
በልዐት			
ወበልዐት			
ዘበልዐት			
በልዑ			
ወበልዑ			
ዘበልዑ			
በላዕነ			
ዘበላዕነ			
በላዕከ			
ወበላዕከ			
ዘበላዕከ			
በላዕኪ			
ወበላዕኪ			
ዘበላዕኪ			
በላዕኩ			
ወበላዕኩ			
ዘበላዕኩ			
በላዕክሙ			
ወበላዕክሙ			
ዘበላዕክሙ			
ወንኡሳትሂ			
