Word	Prefix	Root 	Suffix 
			 
ከየቤቱና	ከ_እየ_ቤት_ኡ_እና	ቤት	እና
የደጎቹን	የ_ደግ_ኦች_ኡ_ን		
የነጋችን	የ_ነገ_አችን		
እንደዚያም	እንደ_እዚያ_ም		
ለስብራታችን	ለ_ስብር_አት_አችን		
በሰውነቶቻችን	በ_ሰው_ነት_ኦች_አችን		
የአበበ	    የ_አበበ		
ማሩን	      ማሩ_ን		
ጥቁሮቹ	ጥቁር_ኦች_ኡ		
 ሰማያዊ 	ሰማይ_አዊ		
በፍጥነት	በ_ፍጥን_ኧት		
ስለዚህም	ስለ_እዚህ_ም		
ከሌሎች	ከ_ሌላ_ኦች		
ለስብራታችን	ለ_ስ-ብ-ር_አት_አችን		
በፍጥነት	በ_ፍ-ጥ-ን_ኧት		
ይሞታል	ይ_ም-ው-ት_አል		
ለኑሮ	    ለ_ን-ው-ር_ኦ		
በቤቶች	በ_ቤት_ኦች		
የደጎቹ	የ_ደግ_ኦች_ኡ		
ከሌሎች	ከ_ሌላ_ኦች		
እንደሚመኟቸው       እንደሚ መ ኟ ቸው
የምንፈልጋቸው                የ ም ን ፈልጋቸው
የማይደረገው       የማይ ደረ ገው
ዓለምን           ዓለም ን
ይለውጣሉ።       ይ ለው ጣሉ።
ምንኛ                ም ን ኛ
ቋንቋ                ቋንቋ
ይናገራል            ይናገ ራ ል
ፈረሱን            ፈ ረሱ ን
አል ፈልግ ም      አል ፈልግ ም
ሀላፊ			
ሀላፊነቱን			
ሀላፊነት			
ሀሙስ			
ሀምሌ			
ሀረርጌ			
ሀሰን			
ሀሳባቸውን			
ሀሳብ			
ሀሳቦቼን			
ሀሳቦችን			
ሀበት			
ሀብቱ			
ሀብታም			
ሀብት			
ሀብትና			
ሀብቶቻቸውን			
ሀብቶቻችንን			
ሀብቶች			
ሀብቶችን			
ሀብቷን			
ሀትሪክ			
ሀንሰን			
ሀኪሞች			
ሀዋሳ			
ሀውልት			
ሀውስ			
ሀይሉ			
ሀይሊ			
ሀይላንድስ			
ሀይሌ			
ሀይል			
ሀይልን			
ሀይሎች			
ሀይማኖታዊ			
ሀይማኖታዊ፣			
ሀይድሮ			
ሀዲያ			
ሀዲዱ			
ሀዲጃ			
ሀገሪቱ			
ሀገሪቷ			
ሀገራቱ			
ሀገራት			
ሀገራትን			
ሀገራቸው			
ሀገራዊ			
ሀገሬ			
ሀገር			
ሀገሮች			
ሀገሯ			
ሀጫሉ			
ሁለተኛ			
ሁለተኛዋ			
ሁለተኛው			
ሁለተኛውን			
ሁለቱ			
ሁለቱም			
ሁለት			
ሁለንተናዊ			
ሁለንተናዊና			
ሁለገብ			
ሁሉም			
ሁሉቃ			
ሁሉን			
ሁሉንም			
ሁሌም			
ሁሴን			
ሁበርት			
ሁኔታ			
ሁኔታና			
ሁኔታን			
ሁኔታው			
ሁኔታዎች			
ሁኔታዎችን			
ሁንዴሳ			
ሁኗል።			
ሁከት			
ሁከትና			
ሁከቶች			
ሁዋዌ			
ሂላሪ			
ሂራን			
ሂሳብ			
ሂትለር			
ሂቶችን			
ሂንዱዎች			
ሂውማን			
ሂውስተን			
ሂውስተንን			
ሂደት			
ሂደትን			
ሂደቶቹ			
ሂደቶች			
ሂድኪ			
ሃሉሲኔታሪቲ			
ሃላፊነት			
ሃላፊኑን			
ሃላፊን			
ሃላፊዎች			
ሃሌሉያ			
ሃሎዊን			
ሃሙስ			
ሃሚልተን			
ሃማም			
ሃማስ			
ሃምሌ			
ሃምሳ			
ሃምዳንዳግሎ			
ሃሪስ			
ሃሪኬን			
ሃራም			
ሃርማን			
ሃርቪ			
ሃርቬይ			
ሃርያዳሌን			
ሃሮልድ			
ሃሮች			
ሃሰን			
ሃሳብ			
ሃሳብን			
ሃሳቦች			
ሃብት			
ሃንሰን			
ሃንድ			
ሃንጋሪያዊያን			
ሃኢቲ			
ሃውልት			
ሃውልቶችን			
ሃውስ			
ሃየስ			
ሃይለአብ			
ሃይሉ			
ሃይላት			
ሃይል			
ሃይሎች			
ሃይሎችን			
ሃይማኖታዊ			
ሃይማኖታው			
ሃይብሪድ			
ሃይትስ			
ሃዲድ			
ሃድራማኡት			
ሃገረ			
ሃገሩ			
ሃገራት			
ሃገራቸው			
ሃገር			
ሃግሌ			
ሄሊኮፕተሩ			
ሄሊኮፕተር			
ሄልማንድ			
ሄልዝ			
ሄራልድ			
ሄርባል			
ሄክታር			
ሄዋን			
ሄዷል።			
ሄፓታይተስ			
ህልሟን			
ህመም			
ህመምተኛ			
ህመምተኞች			
ህሙማን			
ህሙማንን			
ህብረተሰቡ			
ህብረተሰቡን			
ህብረተሰብ			
ህብረት			
ህብረትን			
ህብረት፣			
ህትመቱ			
ህንድ			
ህንፃ			
ህንፃን			
ህንፃውን			
ህክምና			
ህክምናን			
ህክምናዎች			
ህወሓት			
ህዋስ			
ህዋንግ			
ህዝበ			
ህዝቡ			
ህዝቡን			
ህዝባዊ			
ህዝብ			
ህዝብም			
ህዝቦች			
ህይወቱ			
ህይወቱን			
ህይወታቸው			
ህይወት			
ህይወትን			
ህይወቷ			
ህይወቷን			
ህዮን			
ህዳር			
ህዳሴ			
ህገወጥ			
ህጋዊ			
ህጋዊነት			
ህግ፣			
ህጎች			
ህጎችን			
ህጎች፣			
ህጻናት			
ህጻናትን			
ህፃናት			
ህፃን			
ሆላንድ			
ሆልቺም			
ሆልደን			
ሆልዲንግ			
ሆልዲንግስ			
ሆማርኮም			
ሆምስ			
ሆርሞን			
ሆርን			
ሆሳዕና			
ሆሳዕናን			
ሆስፒታሉ			
ሆስፒታሉን			
ሆስፒታል			
ሆስፒታሎች			
ሆስፒታሎችን			
ሆቴል			
ሆነች።			
ሆነዋል።			
ሆነው			
ሆነ።			
ሆኑ።			
ሆኑ፤			
ሆናለች።			
ሆንግ			
ሆኖም			
ሆኖብናል			
ሆኗል			
ሆኗል።			
ሆጃበሪ			
ለሀዲያ			
ለሀገሪቱ			
ለሀገር			
ለሁለተኛ			
ለሁለት			
ለሂንዱዎች			
ለሃገር			
ለህልፈት			
ለህትመት			
ለህንድ			
ለህዝብ			
ለህጋዊ			
ለህፃን			
ለሆኑ			
ለሌላ			
ለልምምድ			
ለልብ			
ለልውውጥ			
ለልጆቻቸው			
ለሕዝብ			
ለሕይወቱ			
ለሕይወት			
ለመሆን			
ለመለካት			
ለመለወጥ			
ለመለዋወጥ			
ለመለየት			
ለመለየት፣			
ለመለያየት			
ለመላክ			
ለመላው			
ለመልቀቅ			
ለመመለስ			
ለመመስረት			
ለመምራት			
ለመምጣት			
ለመሥራት			
ለመረዳት			
ለመራባት			
ለመርዳት			
ለመሰማራት			
ለመሰብሰብ			
ለመሰዋት			
ለመሳል			
ለመሳብ			
ለመሳተፍ			
ለመስማማት			
ለመስራት			
ለመስበር			
ለመስከረሙ			
ለመስጠት			
ለመሸሽ			
ለመሸጥ			
ለመሸፈን			
ለመሻገር			
ለመሾም			
ለመቀልበስ			
ለመቀመጥ			
ለመቀስቀስ			
ለመቀበለ			
ለመቀበል			
ለመቀነስ			
ለመቀናቀን			
ለመቀንስ			
ለመቀየር			
ለመቀጠል			
ለመቃወም			
ለመቅረብ			
ለመቅረፍ			
ለመቅጣት			
ለመቆም			
ለመቆየት			
ለመቆጣጠር			
ለመቋቋም			
ለመተባበር			
ለመተካት			
ለመተግበር			
ለመታሰቢያ			
ለመታደም			
ለመታደግ			
ለመትረፍ			
ለመትከል			
ለመነሳት			
ለመንግስት			
ለመኖር			
ለመከላከል			
ለመከላከልየአፈርና			
ለመከላክለ			
ለመከታተል			
ለመካፈል			
ለመክፈል			
ለመክፈት			
ለመወሰን			
ለመወያየት			
ለመወጣት			
ለመዋሃድ			
ለመዋጋት			
ለመውሰድ			
ለመውጣት			
ለመዘጋጀት			
ለመዝናኛ			
ለመያዝ			
ለመደገፍ			
ለመዳሰስ			
ለመድረስ			
ለመጀመሪያ			
ለመጀመር			
ለመጀመርያ			
ለመገንባት			
ለመገደብ			
ለመግለፅ			
ለመግባት			
ለመግታት			
ለመግታትና			
ለመግዛት			
ለመጠቀም			
ለመጠቀምና			
ለመጠቆም			
ለመጠበቅ			
ለመጠጥ			
ለመጣል			
ለመጨመር			
ለመጨረሻ			
ለመፈለግ			
ለመፈጸም			
ለመፈፀም			
ለመፍቀድ			
ለመፍታት			
ለመፍጠር			
ለሙሉ			
ለሙዚቃ			
ለሚሄደው			
ለሚሆኑ			
ለሚለው			
ለሚመለሱ			
ለሚመለከተው			
ለሚመጡት			
ለሚማሩ			
ለሚሠቃዩ			
ለሚሰሩ			
ለሚሰራው			
ለሚቀርበው			
ለሚቀጥሉት			
ለሚቆጠሩ			
ለሚባል			
ለሚኖረው			
ለሚኖሩ			
ለሚኖራቸው			
ለሚከታተሉት			
ለሚካሄደው			
ለሚወለዱ			
ለሚያርጋቸው			
ለሚያደርገው			
ለሚያደርጉት			
ለሚደረገው			
ለሚደረጉ			
ለሚደረግ			
ለሚገኘው			
ለሚገኙ			
ለሚጓጉ			
ለሚጠጉ			
ለሚፈልጉ			
ለሚፈልጉን			
ለሚፈጀው			
ለማህበረሰቡ			
ለማህበራዊ			
ለማላላቅ			
ለማላላት			
ለማመስገን፤			
ለማመቻቸት			
ለማመንጨት			
ለማምለጥ			
ለማምረት			
ለማምጣት			
ለማምጥት			
ለማሟላት			
ለማረጋገጥ			
ለማረጋጋት			
ለማረጋጋትና			
ለማረፍ			
ለማረፍያ			
ለማራመድ			
ለማራዘም			
ለማሰልጠን			
ለማሰማራት			
ለማሰራጨት			
ለማሰናበት			
ለማሳመን			
ለማሳካት			
ለማሳወቅ			
ለማሳየት			
ለማሳደግ			
ለማሳገድ			
ለማስመለስ			
ለማስቀረት			
ለማስቀጠል			
ለማስቆም			
ለማስተማር			
ለማስተካከል			
ለማስተዋወቅ			
ለማስተዳደር			
ለማስታወስ			
ለማስቻል			
ለማስወገድ			
ለማስጀመር			
ለማስገባት			
ለማስጠበቅና			
ለማስፈረም			
ለማስፈን			
ለማስፈጸም			
ለማስፋት			
ለማስፋፋት			
ለማሸነፍ			
ለማሸጋገር			
ለማሻሻል			
ለማቀራረብ			
ለማቀድ			
ለማቅረብ			
ለማቆም			
ለማቋረጥ			
ለማቋቋም			
ለማበረታታት			
ለማባረር			
ለማትረፍ			
ለማንሳት			
ለማንሸራሸር			
ለማከም			
ለማከናወን			
ለማከፋፈል			
ለማካሄድ			
ለማካተት			
ለማክሰም			
ለማክበር			
ለማወቅ			
ለማዋል			
ለማውረድ			
ለማውጣት			
ለማዕከሉ			
ለማዘመን			
ለማዘዋወር			
ለማዘጋጀት			
ለማዛወር			
ለማዝገምና			
ለማየት			
ለማይበልጥ			
ለማደስ			
ለማዳረስ			
ለማዳበር			
ለማዳከም			
ለማድረስ			
ለማድረግ			
ለማድግ			
ለማገልገል			
ለማገናኘት			
ለማገዝ			
ለማግኘት			
ለማጎልበት			
ለማጎልበት፣			
ለማጓጓዝ			
ለማጠናቀቅ			
ለማጠናከር			
ለማጥፋት			
ለማጭበርበር			
ለማፅደቅ			
ለማፅዳት			
ለማፈን			
ለሜቻ			
ለምረቃው			
ለምሳሌ			
ለምታደርገው			
ለምነት			
ለምነትን			
ለምን			
ለምዕራባዊ			
ለምዕራፍ			
ለምድር			
ለምጀምሪያ			
ለሞቃታ			
ለሞት			
ለሠራዊቱ			
ለሥልጠና			
ለሥዕሉ፣			
ለረብሻ			
ለረጅም			
ለሩሲያ			
ለሪፖርተር			
ለሪፖርተር።			
ለሪፖርተሮች			
ለሰሞኑን			
ለሰረዘው			
ለሰርከስ			
ለሰባት			
ለሰነዘረው			
ለሰው			
ለሳምንታት			
ለሳምንት			
ለሳውዲ			
ለሴሚኮንዳክተር			
ለሴቶች			
ለስለላ			
ለስልክ			
ለስቃይ			
ለስኳር			
ለስድሰት			
ለስድስት			
ለስፖርታዊ			
ለሶማሊያ			
ለሶስተኛ			
ለሶስት			
ለሺህ			
ለሽያጭ			
ለቀሪው			
ለቀቀች።			
ለቀቀ።			
ለቀቁ።			
ለቀው			
ለቀድሞው			
ለቀጣይ			
ለቃሉ።			
ለቅድመ			
ለቅድስና			
ለቋል።			
ለበርካታ			
ለበሽታው			
ለበጎ			
ለቡድኑ			
ለባህሉ			
ለባለፈው			
ለባሊ			
ለባሕር			
ለባንኩ			
ለብረቱ			
ለብሮን			
ለብስክሌት			
ለብክለት			
ለብዙ			
ለብዙዎች			
ለቫር			
ለተለየችው			
ለተለያዩ			
ለተመሳሳይ			
ለተማሪዎች			
ለተራኪዎች			
ለተሰማሩ			
ለተሰንበት			
ለተሳተፉ			
ለተሻለ			
ለተሻሻሉ			
ለተቀረው			
ለተቆጣጠረ			
ለተባበሩት			
ለተተኮሱ			
ለተቸገሩ			
ለተነሱ			
ለተነሳበት			
ለተከታታይ			
ለተክሎች			
ለተዘጋጀ			
ለተደረጉ			
ለተደባለቀ			
ለተገነዘቡ			
ለተጎዱ			
ለተጨማሪ			
ለተፈረደባቸውን			
ለተፈናቀሉ			
ለተፈጠረው			
ለተፈጸመው			
ለቱሪዝም			
ለታሰበው			
ለታተመው			
ለታዋቂዋ			
ለታይላንድ			
ለታዳጊ			
ለትምህርት			
ለትራፊክ			
ለትዳር			
ለቻይናው			
ለነበረው			
ለነበሩ			
ለነፃነት			
ለንደን			
ለንግድ			
ለንፁህ			
ለኖሊውድ			
ለኖቫቫክስ			
ለአለም			
ለአለባበስ			
ለአማካሪነት			
ለአሜሪካ			
ለአምስተኛ			
ለአምስት			
ለአረንጓዴ			
ለአረጋ			
ለአራተኛ			
ለአራት			
ለአርሶ			
ለአባል			
ለአባታቸው			
ለአብያተ			
ለአንዳንድ			
ለአንድ			
ለአካባቢው			
ለአካባቢያዊ			
ለአዋሽ፣			
ለአውረፓ			
ለአየር			
ለአይሲቲ			
ለአደጋ			
ለአዲስ			
ለአዳር			
ለአዳዲስ			
ለአገልግሎታቸው			
ለአገልግሎት			
ለአገሪቱ			
ለአገር			
ለአፈሩ			
ለአፍሪካ			
ለኢቦላ			
ለኢትየፐፒያ			
ለኢትዮ			
ለኢትዮጵያ			
ለኢትዮጵያዊ			
ለኢትዮጵያውያን			
ለኢንቨስትመንት			
ለኢንቨስትመንቶች			
ለኢንዱስትሪው			
ለኢዜአ			
ለኤም			
ለእሁዱ			
ለእለት			
ለእሱ			
ለእስራኤል			
ለእናት			
